LOAD_DATE,DEMAND_GUID,PROJECT_NUMBER,PROJECT_NAME,PROJECT_DESCRIPTION,CUSTOMER_NO,CUSTOMER_NAME,PRACTICE_CODE_TEXT,INDENT_STATUS,ADDITIONAL_SKILLS,NO_OF_RESOURCES,PROPOSED,SELECTED,ALLOCATED,OPEN_POS,AREA,EXECUTION_HUB,ALT_MAND_SKILL
2/18/2021,1,1,ABCD,EFGH,1,MYF,CDP.AI,RECRUIT,"Machine Learning Algorithms (L3),N/A",1,0,0,0,1,OFFSHORE,ERA1,N/A
2/18/2021,2.00E+00,1,ABCD,EFGH,2,MYF,CDP.AI,RECRUIT,"Machine Learning (L2),N/A",1,0,0,0,1,OFFSHORE,ERA1,N/A
2/18/2021,3.00E+00,1,ABCD,EFGH,3,MYH,CDP.AI,INTERNAL,"Cloud-PaaS-AWS-Amazon Web Services (L2),N/A",1,5,0,0,1,OFFSHORE,ERA2,N/A
2/18/2021,4.00E+00,1,ABCD,EFGH,4,MYH,CDP.AI,PARALLEL,"Data Analysis (L3),N/A",2,0,0,0,2,OFFSHORE,ERA2,N/A
2/18/2021,5.00E+00,1,ABCD,EFGH,5,MYH,CDP.AI,RECRUIT,"Cloud-PaaS-AWS-Amazon Web Services (L3),N/A",2,0,0,0,2,OFFSHORE,ERA2,N/A
2/18/2021,6,1,ABCD,EFGH,6,MYH,CDP.AI,INTERNAL,"Cloud-PaaS-AWS-Amazon Web Services (L2),N/A",2,0,0,0,2,OFFSHORE,ERA2,N/A
2/18/2021,7.00E+00,1,ABCD,EFGH,7,MYH,CDP.AI,PARALLEL,"Cloud-PaaS-AWS-Amazon Web Services (L2),N/A",2,2,0,1,1,OFFSHORE,ERA2,N/A
2/18/2021,8.00E+00,1,ABCD,EFGH,8,MYH,CDP.AI,INTERNAL,"Cloud-PaaS-AWS-Amazon Web Services (L2),N/A",1,0,0,0,1,OFFSHORE,ERA2,N/A
2/18/2021,9,1,ABCD,EFGH,9,MYH,CDP.AI,PARALLEL,"DataBricks - Data Engineering (L3),Cloud-PaaS-AWS-Amazon Web Services (L3)",1,0,0,0,1,ONSITE,ERA2,Amazon Redshift (L3)
2/18/2021,10,1,ABCD,EFGH,10,MYH,CDP.AI,RECRUIT,"N/A,N/A",2,0,0,0,2,OFFSHORE,ERA2,N/A
2/18/2021,1.10E+01,1,ABCD,EFGH,11,MYH,CDP.AI,PARALLEL,"DevOps (L3),N/A",1,0,0,0,1,OFFSHORE,ERA2,N/A
2/18/2021,12,1,ABCD,EFGH,12,MYH,CDP.AI,RECRUIT,"N/A,N/A",5,0,0,0,5,OFFSHORE,ERA2,N/A
